n_harmonics,base_freq,magnitudes_0,phases_0,instruments_0
1,0.7221279575274889,4.404473835124744,1.6114420045645128,sin
x,y
-4.998525562475344,-3.9788491756358844
-4.995049501145276,-4.002979069076537
-4.974069056550477,-4.028468616090596
-4.959640569856435,-4.104157189261791
-4.953476195414913,-4.122714985867097
-4.952126236887766,-4.09806524684287
-4.943782992250714,-4.123224926827279
-4.935674590912093,-4.141955221952931
-4.933352754818659,-4.080355360804267
-4.9224251684661695,-4.100003299275339
-4.920036122515028,-4.156402466067495
-4.9075894123406165,-4.112075523671234
-4.898908412701061,-4.140138981087048
-4.859891940362822,-4.211034989918905
-4.858978469156857,-4.227564571876834
-4.846898570399311,-4.15882589655051
-4.844532296659266,-4.166182501144549
-4.841562004560291,-4.1422690949684
-4.81961626121142,-4.209076311705398
-4.817665865499265,-4.134301444921996
-4.808791740586878,-4.268566832882516
-4.807690082173327,-4.221123769698675
-4.786201895635499,-4.271104814344917
-4.764679099147905,-4.24180389690837
-4.71470582152946,-4.28728807839169
-4.699734865113276,-4.256365280573556
-4.661220950032762,-4.256011389863027
-4.642302435393285,-4.317547174892111
-4.639184516294498,-4.380151647588301
-4.631372942794703,-4.39850827159852
-4.612174549966891,-4.272276665498486
-4.6079416183944355,-4.367619619382859
-4.605067805182863,-4.288532975192736
-4.599948274162161,-4.428031171440216
-4.5957383050899425,-4.31706487304477
-4.593378017558795,-4.4157191592708545
-4.587553174812394,-4.4061124357939265
-4.585615263811763,-4.412286172949379
-4.584174658814938,-4.393014902650464
-4.580978778704829,-4.390128988475973
-4.55728413618904,-4.393087484712413
-4.546533352998031,-4.277448117135773
-4.545481262183657,-4.439131816113572
-4.501015319245424,-4.414772269921848
-4.463985715674551,-4.397879403107904
-4.45927009152504,-4.33435146699879
-4.457412092049147,-4.347475479307278
-4.4541451047980605,-4.482757221985943
-4.435484704999605,-4.393595769925994
-4.410993882676312,-4.415248530800641
-4.400507474962318,-4.364289718409764
-4.392779655532355,-4.420027729380838
-4.39117073397867,-4.365040399635404
-4.387675807248881,-4.288032852887734
-4.348981968958583,-4.396687906966018
-4.343504730029898,-4.389849369878812
-4.3370312106361055,-4.429920210427191
-4.3329513025911535,-4.499995104763848
-4.319766351219764,-4.46238610024456
-4.316985775891569,-4.540788313356182
-4.277880719894821,-4.326831920824158
-4.265282228390706,-4.306625313471577
-4.245322705716479,-4.375075203573142
-4.242722998255334,-4.354644205384987
-4.242435766267168,-4.286056314493872
-4.239603740250873,-4.493772332445726
-4.193067243530999,-4.429137299817583
-4.186234060532529,-4.456195326788506
-4.178780601183859,-4.281912579272955
-4.168396000459071,-4.404860960889581
-4.158263286437797,-4.416843706938919
-4.116558387107939,-4.335089087218814
-4.113265505607937,-4.3203812409291515
-4.1106334323991796,-4.322327977601
-4.109441559434874,-4.311472521300754
-4.092390681332679,-4.272933311187181
-4.090244531767187,-4.284767880617267
-4.07539054194395,-4.308260693992945
-4.063725490199982,-4.265120311918408
-4.060668055306022,-4.288379754243603
-4.059398387651059,-4.208745146823635
-4.03181225588153,-4.213565392027504
-4.03166414724701,-4.262289213936059
-4.025074360548224,-4.244012247020396
-3.983526771738638,-4.219001827550132
-3.9705151549175866,-4.120061892554878
-3.9644145609905657,-4.245150521455864
-3.9257083515121938,-4.1702272427982985
-3.9242626146285096,-4.0524977734898755
-3.9161651150090124,-4.124839362275178
-3.8944763227243886,-4.127574822280455
-3.894244591873366,-4.090669438964741
-3.891220939134876,-4.1379777223707865
-3.8689641640392725,-4.092735268441179
-3.8556441221936977,-3.9921145578075756
-3.8453196586290748,-4.04557546989152
-3.8291672085160977,-3.9566570109570556
-3.826053093025287,-4.031874376100518
-3.7979013867944023,-4.004003884383821
-3.788055793918189,-3.9937036182855503
-3.7452459029367935,-3.862404195496275
-3.741049171304468,-3.933699158492998
-3.7323935990020276,-3.8833620426237925
-3.722639821049465,-3.862612556155434
-3.7155717408779965,-3.887386131819875
-3.7155485505114774,-3.841812887693229
-3.714758561926047,-3.846269131296188
-3.6811613193278836,-3.763449311542141
-3.679065414811257,-3.807266556811055
-3.6741279503511217,-3.754386059815854
-3.6657707496194822,-3.813358585624089
-3.65697785708854,-3.815366851501786
-3.6256648587308495,-3.6605999555192894
-3.625607864924696,-3.7484550140925816
-3.618875977385363,-3.648770199607195
-3.6141193793130286,-3.753387254095065
-3.6140022826277507,-3.6259850443886963
-3.6135983097163304,-3.629577891205389
-3.5941411672669665,-3.7125765712092873
-3.5922669345445923,-3.6484466137704135
-3.5800918242200375,-3.6514522802615677
-3.5323838469839575,-3.530893467551119
-3.5155244236460015,-3.4723693468012433
-3.514003858126864,-3.5223055173188333
-3.507121624844104,-3.4888009111293585
-3.5053118393538005,-3.481385893177635
-3.500354949374682,-3.432320406600054
-3.4867975937001416,-3.4428078201333836
-3.4801426071680828,-3.4565955187614263
-3.480005260313889,-3.381650120994471
-3.4795329188075086,-3.385488654652979
-3.4789958526218556,-3.457516111465699
-3.474473768065037,-3.4030767516513576
-3.4728132245450425,-3.41268569220354
-3.467134795206265,-3.3965618755996676
-3.456831527579417,-3.4611500254069325
-3.454451742027339,-3.4182518451949395
-3.4482138751383418,-3.3488654434437133
-3.4236890029343625,-3.360111866064123
-3.422513414763265,-3.417127602137831
-3.4077244897355485,-3.205560187314456
-3.3902424596041536,-3.274525065055301
